1;2024-03-01;"Eating out";4.50;McDonalds;No
2;2024-03-01;Groceries;0.89;Coca-Cola;No
3;2024-03-01;Entertainment;15.34;"Shisha, beer";No
4;2024-03-01;Groceries;1.00;Water;No
5;2024-03-01;Transport;10.00;Taxi;No
6;2024-03-03;Investments;15.07;Binance;No
7;2024-03-04;"Eating out";7.84;kfc;No
8;2024-03-05;Gifts;100.00;"Mom bday gift";No
9;2024-03-05;Clothes;23.90;t-shirt;No
10;2024-03-06;Groceries;0.86;water;No
11;2024-03-06;Groceries;11.40;;No
12;2024-03-06;Other;3.87;hz;No
13;2024-03-07;"Eating out";3.18;snacks;No
14;2024-03-08;Investments;150.00;;No
15;2024-03-08;"Eating out";1.10;water;No
16;2024-03-10;Transport;7.00;"Taxi home";No
17;2024-03-10;Other;10.00;Jegor;No
18;2024-03-11;Gifts;10.99;sanja;No
19;2024-03-11;"Eating out";2.38;"coke, candy";No
20;2024-03-11;Other;46.00;"test driving theory";No
21;2024-03-12;"Health & Beauty";5.00;Dentist;No
22;2024-03-14;Other;50.00;Desk;No
23;2024-03-18;Investments;450.00;Binance;No
24;2024-03-17;"Eating out";10.40;beer;No
25;2024-03-19;Investments;36.99;;No
26;2024-03-20;Groceries;14.04;"weekly shopping";No
27;2024-03-22;"Eating out";7.54;McDonalds;No
28;2024-03-25;"Eating out";7.50;Lido;No
29;2024-03-25;"Health & Beauty";79.02;"Mancera Cedrat Boise";No
30;2024-03-07;"Health & Beauty";1,233.00;adsdd3;No
31;2024-03-23;Investments;333,333.00;test;No
